field	nullable_yes	nullable_no	unknown	not_present	nullability_pairwise_agreement	omittable_yes	omittable_no
open	8	2	0	0	0.6444444444444445	10	0
open[].ref_id	0	10	0	0	1.0	0	10
open[].lineno	10	0	0	0	1.0	10	0
click	8	2	0	0	0.6444444444444445	10	0
click[].ref_id	0	10	0	0	1.0	0	10
click[].id	0	10	0	0	1.0	0	10
find	8	2	0	0	0.6444444444444445	10	0
find[].ref_id	0	10	0	0	1.0	0	10
find[].pattern	0	10	0	0	1.0	0	10
screenshot	8	2	0	0	0.6444444444444445	10	0
screenshot[].ref_id	0	10	0	0	1.0	0	10
screenshot[].pageno	0	10	0	0	1.0	0	10
image_query	8	2	0	0	0.6444444444444445	10	0
image_query[].q	0	10	0	0	1.0	0	10
image_query[].recency	9	1	0	0	0.8	10	0
image_query[].domains	9	1	0	0	0.8	10	0
sports	8	2	0	0	0.6444444444444445	10	0
sports[].tool	0	10	0	0	1.0	0	10
sports[].fn	0	10	0	0	1.0	0	10
sports[].league	0	10	0	0	1.0	0	10
sports[].team	9	1	0	0	0.8	10	0
sports[].opponent	9	1	0	0	0.8	10	0
sports[].date_from	9	1	0	0	0.8	10	0
sports[].date_to	9	1	0	0	0.8	10	0
sports[].num_games	9	1	0	0	0.8	10	0
sports[].locale	9	1	0	0	0.8	10	0
finance	8	2	0	0	0.6444444444444445	10	0
finance[].ticker	0	10	0	0	1.0	0	10
finance[].type	0	10	0	0	1.0	0	10
finance[].market	9	1	0	0	0.8	10	0
weather	8	2	0	0	0.6444444444444445	10	0
weather[].location	0	10	0	0	1.0	0	10
weather[].start	9	1	0	0	0.8	10	0
weather[].duration	9	1	0	0	0.8	10	0
calculator	8	2	0	0	0.6444444444444445	10	0
calculator[].expression	0	10	0	0	1.0	0	10
calculator[].prefix	0	10	0	0	1.0	0	10
calculator[].suffix	0	10	0	0	1.0	0	10
time	8	2	0	0	0.6444444444444445	10	0
time[].utc_offset	0	10	0	0	1.0	0	10
response_length	2	8	0	0	0.6444444444444445	10	0
search_query	8	2	0	0	0.6444444444444445	10	0
search_query[].q	0	10	0	0	1.0	0	10
search_query[].recency	9	1	0	0	0.8	10	0
search_query[].domains	9	1	0	0	0.8	10	0
