host	source	time	label	title	content_kind	body_len	first_line	k4be_verdict	k4be_verdict_confidence	provenance	reviewer_confidence	reviewer_rationale	source_url	body_sha256
nervesocket.com	pastes	2020-09-03T13:51:33+00:00		Untitled	gardening-guide	8394	Untitled			reviewer_upgraded_from_unknown	high	EZ Lawn gardening guide text, ordinary user paste.	https://nervesocket.com/view/794c0a5b	7f0d1ee357ce9b8a4dbb2d6f4755f2a57936f5d40a054f2840541a826b6b734a
p.gaa.st	pastes			Untitled	puppet-log	48239	Untitled			reviewer_upgraded_from_unknown	high	Puppet agent noop run on nasi.dublin.gaast.net; legitimate sysadmin paste chaff.	https://p.gaa.st/view/49419208	35e4ad7b435548546b1cfb758c37d361e6072229396feb2aa6da085a40b81745
paste.linuxiarz.pl	pastes	2025-10-28T13:24:59+00:00	Rude Agouti	Re: Re: SofarLoggerESP32u	esphome-config	18011	Re: Re: SofarLoggerESP32u			reviewer_upgraded_from_unknown	high	SofarSolar ESPHome ESP32 config re-paste, ordinary user content.	https://paste.linuxiarz.pl/view/5c78b888	2b217af2907101d1aaf0a7ae1ff300ce3e29e4a59d9c14fd31c84fac2e1af1cd
paste.linuxiarz.pl	pastes	2023-05-11T22:41:41+00:00	Gentle Gibbon	Re: Untitled	esphome-config	18129	Re: Untitled			reviewer_upgraded_from_unknown	high	SofarSolar ESPHome config re-paste, ordinary user content.	https://paste.linuxiarz.pl/view/ce39cdd7	90ea6ed7ce16cd670a3f8a91a66e85ddbddd3719d239677d9ca5d0c3d68f5fcf
paste.linuxiarz.pl	pastes	2025-02-14T23:26:55+00:00	Anorexic Peccary	Untitled	nginx-config	3389	Untitled			reviewer_upgraded_from_unknown	high	nginx user-agent block list snippet, ordinary sysadmin paste.	https://paste.linuxiarz.pl/view/d028ef55	9658196b9c29b2e86df99853fa2a8e681bb07cdc57b448367de7e66275847eac
paste.linuxiarz.pl	pastes	2024-04-17T13:21:14+00:00	michal	Untitled	modbus-config	15542	Untitled			reviewer_upgraded_from_unknown	high	ESPHome modbus/sofarsolar YAML config, ordinary user content.	https://paste.linuxiarz.pl/view/f5052273	af50c40ccfeea7047aafedc6d10146b40377a6ca1a54d53dac5d7e879d560c81
paste.linuxiarz.pl	pastes	2023-01-26T09:07:56+00:00	Chartreuse Dolphin	Re: Untitled	esphome-config	18127	Re: Untitled			reviewer_upgraded_from_unknown	high	SofarSolar ESPHome config re-paste, ordinary user content.	https://paste.linuxiarz.pl/view/fb465edd	baa26bbd6d65a47a1c55013cf6ef2edc4d5f91568e909d39268dd502fa428151
paste.linuxiarz.pl	pastes	2022-07-06T11:47:19+00:00	gru	Untitled	esphome-config	18125	Untitled			reviewer_upgraded_from_unknown	high	SofarSolar ESPHome config paste, ordinary user community sharing.	https://paste.linuxiarz.pl/view/e3670ca1	cd752ac9822477f697b8724f9dcec0f15475f73031e1c976fe8f769d286ecf8d
paste.linuxiarz.pl	pastes	2023-04-03T09:00:09+00:00	MaciejInaczej	sofarsolar	esphome-config	18225	sofarsolar			reviewer_upgraded_from_unknown	high	SofarSolar ESPHome config paste, ordinary user content.	https://paste.linuxiarz.pl/view/c995167f	e3f9018de4bdda922d546b0d9b1ffe9f7d8143a7f0f253af583644d78c9e441a
paste.linuxiarz.pl	pastes	2025-10-28T13:24:21+00:00	Flying Lion	Re: SofarLoggerESP32u	esphome-config	18007	Re: SofarLoggerESP32u			reviewer_upgraded_from_unknown	high	SofarSolar ESPHome ESP32 config, ordinary user content.	https://paste.linuxiarz.pl/view/8af60299	fd85df9087df619c215ef91e2f5d217d05a952f8b8737c818a51ffb16a411d3e
