count	template
44	"Now, do the same for 2016."
31	"Now, do the same for Business."
28	"Now, do the same for 2015."
27	"Now, do the same for financial managers."
21	"Now, do the same for males in 2016."
20	"Now, do the same for credit counselors & loan officers."
17	"Now, do the same for Louisiana."
16	"Now, do the same for Louisiana/New York."
16	"Now, do the same for Mississippi."
12	"Now, do the same for insurance sales agents."
10	"Now, do the same for New Hampshire."
7	"Now, do the same for Hungary."
5	"Now, do the same for Education."
5	"Now, do the same for Poland."
3	"Now, do the same for New York."
1	"Now, do the same for Korea."
