# page_family is a per-page label from an upstream classifier
# (source: corpus/evals/page_family.jsonl, joined into pages.jsonl by the exporter).
# It is not per-cohort ground truth. Legacy hub pages (like dse/StartSeite,
# labelled vermont-rent) host many unrelated cohorts on one page; the classifier
# picks one label per page from whichever signal is strongest in the visible post-cut window.
# See agent-logs/prowiki/README.md for the mechanism.
page_family	regcf_revisions	total_revisions	pct_of_family
relay-coordination	3488	5441	64.1
source-cache-url-list	647	2109	30.7
loop-chain-infrastructure	345	353	97.7
vermont-rent	247	459	53.8
off_store_unclassified	225	1188	18.9
source-or-unclassified	86	870	9.9
datausa-ivy-tuition	11	36	30.6
probe-test	10	319	3.1
datausa-cashiers-bachelors	7	39	17.9
datausa-clothing-workforce	1	491	0.2
