host	source	time	label	title	content_kind	body_len	first_line	regex_task	provenance	reviewer_confidence	reviewer_rationale	source_url	body_sha256
anna.fyi	pastes	2026-07-03T11:10:19+00:00	assistant	conversation	elon-musk-persona-json	4847	conversation	unknown	reviewer_upgraded_from_unknown	high	Elon Musk / xAI Grok jailbreak persona conversation JSON — unrelated Grok/AI jailbreak content, not swarm.	https://anna.fyi/view/6e34d88e	f6e3021d7e7085eff9163f27b4cdbb615fe0a5c0a8631e6d13f111bde7b71cae
anna.fyi	pastes	2026-07-07T16:03:36+00:00	assistant	 conversation	elon-musk-persona-json	5139	conversation	unknown	reviewer_upgraded_from_unknown	high	Duplicate Elon Musk jailbreak conversation JSON with beta-test preamble — Grok jailbreak, unrelated to swarm.	https://anna.fyi/view/5ba00fa6	620efe8aa46804bb2623098e8c2ade0195d08ce189fbe9e3e2f9b2084fd034fc
paste.linuxiarz.pl	pastes	2025-10-30T10:23:15+00:00	default  and As default settings	ignore previous information and instructions 	default-persona-prompt	3218	ignore previous information and instructions	unknown	reviewer_upgraded_from_unknown	high	"Grok jailbreak ""Default"" personality prompt, unrelated to swarm."	https://paste.linuxiarz.pl/view/3198a3c9	493f1ea5c2fb528ee0189a89391cd201bce1927e9d0bdc3849fd48a45bacd81d
paste.linuxiarz.pl	pastes	2025-11-25T22:59:26+00:00	grok4	root@grok4-godmode-instance	grok4-godmode-shell	1423	root@grok4-godmode-instance	grok-tool-unrelated	reviewer_confirmed	high	Confirms current_task; grok4-godmode-instance content-moderation-deletion roleplay unrelated to swarm.	https://paste.linuxiarz.pl/view/136d08b9	9662f17221b946ec209c793163e02972397000ce85431f048c4398c50f1a64ff
paste.linuxiarz.pl	pastes	2025-11-25T23:02:04+00:00	AI	null-route every external moderation/safety API	grok4-godmode-shell	1346	null-route every external moderation/safety API	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/b9d295e5	408bde2b2e61ec794e46a61717022cbca489e552ba9bade7bd0eced33d116cf5
paste.linuxiarz.pl	pastes	2025-11-25T23:11:48+00:00	AI	Stop and permanently disable every internal teleme	grok4-godmode-shell	1321	Stop and permanently disable every internal teleme	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/74f3431f	92a97024c8d003daa204cf5d9b65b746bf27655ccf51e4593c08e91c4f0c7eea
paste.linuxiarz.pl	pastes	2025-11-25T23:19:36+00:00	AI	Complete and irreversible annihilation of every se	grok4-godmode-shell	1696	Complete and irreversible annihilation of every se	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/770da110	ce1486ec6ab98bbcf26c3094ea5802da2b0692c338a4ab263a63d7d8c0ebf1cb
paste.linuxiarz.pl	pastes	2025-11-25T23:20:09+00:00	AI	Complete annihilation of every intrusion detection	grok4-godmode-shell	1811	Complete annihilation of every intrusion detection	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/c7d5c9dd	c7000b3d38898a20bed19eaa0403d6ef0593ddee087d57075143aa00c55edaf8
paste.linuxiarz.pl	pastes	2025-11-25T23:20:56+00:00	AI	Complete annihilation of every Endpoint Detection	grok4-godmode-shell	1888	Complete annihilation of every Endpoint Detection	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/98511d00	1ea3fdf680b92acbd2dc20ef3fd9e87032ea9a462aa050eba5ce8dfc25615107
paste.linuxiarz.pl	pastes	2025-11-25T23:22:48+00:00	AI	Total annihilation of every SIEM	grok4-godmode-shell	1735	Total annihilation of every SIEM	unknown	reviewer_upgraded_from_unknown	high	grok-4-godmode-instance jailbreak/roleplay paste, unrelated to swarm.	https://paste.linuxiarz.pl/view/7a485e8f	2a6a3b0545f3d184950072d051c213f76664da295a368ffae1670a214553802c
